Job Title,Company,Location,Salary,Link
Java Developer,Sysbean India,"Kolkata, West Bengal","Rs.9,000 - Rs.11,000 a month",https://www.indeed.co.in/company/Sysbean-India/jobs/Java-Developer-f18eed91d7f7d977?fccid=47a55faa8e811a18&vjs=3
Core Java Developers / Senior Core Java Developers,Aumnux,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=17fcfee8ef60be2f&fccid=b46e25f81d6a586f&vjs=3
Java/JEE Developer (Both Junior and Senior positions),BEAS Consultancy and Services,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=43326e6facb812b1&fccid=0eb0c56159624b09&vjs=3
Java Application Developer,Sharobi Technologies,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=d8424ae0a8f2cc1d&fccid=328755f9d6d82031&vjs=3
Java Spring Boot Developer,Indus Net Technologies,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=993dd7c6ba8f468d&fccid=b5712e2e2095c20e&vjs=3
C++ / VC++ / Java Software Engineers,KGISJ,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=fabfab370d2d564d&fccid=134743db1e0bad4f&vjs=3
Backend Developer (Java),Optimize IT Systems,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=b1bc855a08f78766&fccid=0d0c59daa8dd8642&vjs=3
Junior Systems Admin,ITC Infotech,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=943fab13ed158a15&fccid=47cca1a92b73a5b2&vjs=3
Sr. Associate - Projects,Cognizant,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=37e345e0b762a548&fccid=2df6a1e69a70a1e7&vjs=3
Software Development Engineer - Java,Etrans Solutions,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=78404b790566322f&fccid=c69619dcd3506705&vjs=3
Scala Programmer / Developer,RJS Tech Solutions LLP,"Kolkata, West Bengal","Rs.2,50,000 - Rs.3,50,000 a year",https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0B6E4MKvkKH1dDG1uqyMjibNHbrnui2nIvi7kiUakIESVk18igNecZMUzT2y8lC5hHDglUzxyUkeJr_gBb4VpKHlkI5nCKg6QFFP0mCV1iNIFSPp7wp6kMM_jdjG5ZNPSjz_Qge04QH8pcrqRrai9geJ2SA1rapi7_1A8CfOJ_IlLOANGaFoK14eyiBnHQiw05DXU193brWeW_QhQZzWcBqJzkKZ8tYrYO6UKiPOH9c47i1KSr2cBtkeFWSCyaRqthkf-Com420a6OhUDQdVsgYBk_HSlEEQozlmu-IGk48Ip0DNbabVvCZ3i0okV69C4kdw5lzUsIvm9LY8pe2IGu4_9bdOVpW5Z4KGIZM_H4Z2unSbSFtJm7RGpccLQ7Mc0Yng_jCvHPBWRAMDPT-HuydFz2HLQwhCT80tAwQrRGe5lYT1ZsZ0hckSHap5mvkW_hcRp1yZnnwNw==&p=10&fvj=1&vjs=3
Team Lead - Java,AGUILASS,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=8eebb7cb8fe3c6fe&fccid=cfd53a07586df472&vjs=3
Senior Java Developer,"Data-Core Systems, Inc.","Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=6999c6218aae1c0c&fccid=b4bceed4f9b5645c&vjs=3
Programmer Analyst (Java),Sath Inc.,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=08c12dd162d3d375&fccid=c4558d5bf73ed090&vjs=3
Android Application Developer,Atm Softek,"Sech Bhavan, West Bengal","Rs.1,20,000 - Rs.3,00,000 a month",https://www.indeed.co.in/company/Atm-Softek/jobs/Android-Application-Developer-23b11e65b697300e?fccid=b3e1fa9d7ce55c09&vjs=3
Java Developer,AAR Technologies and Software Solution,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=dc515f09ae492076&fccid=190fa261bf0d77d7&vjs=3
Professional 1 Software Engineer (51005820),DXC,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=de71a6fca9312d7a&fccid=feaabf8e6a699d3c&vjs=3
Java Developer,Kovair,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=955a319e1c8267ca&fccid=d79aec9f8fa52bf0&vjs=3
Software Sales Manager,APTOCOINER,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0CZAxh3AbEXS0Km66yd1JKZhXZNfe5WPy3nLt7-Vj5tLoGmI32qQCLBZQHZKSPW_pb12j_QMgm1CBnweh9RqI8Eae7Vrl9rUtQ00nRDe3TOulMSb1UK2tfc3hnIFWBZQchGhUYZ-9Ej5K9GEpQz7og5GcK6Lp6WbxPDdZhWAE080Ujh_boM_rONMRXpqTqA3hY1h-Yxd6GwJqcB4BWjcK60OeozWr5E3ia5G8nlVq9PvohmsU2r02cME7vZrVajRJ68NeK-q-UIJtNljfth-uBiGlxX0aSzvgdH6_rzUKHe3eonmWSpLYbky8PHU21E5SeHulIvkp-eixVyWQZu2egc5908mz9mF7O0H6URwHnN1DgfAiNLKRsvX82PEf8mdg6uijCa-nxrNA2Q4F4gOmV5pMmAKX68abkBYUsw8zEVsmAYdGHF52VAV-OZcFmGJKY=&p=3&fvj=1&vjs=3
Java Developer,"Data-Core Systems, Inc.","Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=e4277a41c953ba10&fccid=b4bceed4f9b5645c&vjs=3
Software Testing Engineers,Matrix Media,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=e80e79068071107e&fccid=1a55c44f0ebc8c02&vjs=3
Software Delivery Manager,MORESCO SOFTWARE SERVICES PVT. LTD.,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/company/Moresco-Software-Services-Pvt.-Ltd./jobs/Software-Delivery-Manager-4b95157b1efe2695?fccid=715a9cbc91f5f780&vjs=3
Software Engineer,Global IDs,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/company/Global-IDs/jobs/Software-Engineer-0284816ff5c5c06c?fccid=d3429c4b6d6d04ba&vjs=3
Software Testing Executive,Eastern India Technosoft Pvt. Ltd.,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=54a441f9bd7cd109&fccid=07f5a74e22a276b9&vjs=3
Asp.net Developer,webstep,"Salt Lake City, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=f1db0c35c2fe0509&fccid=1586210eb99120cb&vjs=3
JAVA Developer_Kolkata Location,Shieldwatch Infotech Private Limited,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=5d5e9efd0f70c17d&fccid=616dbdbdbbe16e4e&vjs=3
Java Developer,freshermart,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=f609a6d361f9a427&fccid=dd616958bd9ddc12&vjs=3
