Job Title,Company,Location,Salary,Link
"""mnc Hiring for  Microsoft Azure - Data Factory + Python + Devops for Mumbai Location-5+yrs""",Sellcraft Global Solutions Private Limited,"Mumbai, Mumbai City, Navi Mumbai, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1509721&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Software Engineer (Python),SnapHunt Pte Ltd,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1493235&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Python Developer ,Zensar Technologies Limited,"Gurgaon / Gurugram, Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1500927&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Python Developer - Bangalore,Dishi HR Solutions,"Bengaluru / Bangalore, Mumbai City"," 
                                1,80,000-5,00,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1494102&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Need For Software Engineer || Freshers Apply,Nanu India Recruitment Co,"Chennai, Mumbai"," 
                                1,70,000-4,20,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1482583&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Sr. Python Developer,Federal Soft Systems Inc,"Pune, Mumbai City"," 
                                0-0 INR
                            ",www.monsterindia.com/seeker/job-details?id=1498637&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
"Multiple Openings : Sr. Python Developer , Mumbai-Airoli or Pune-Hinjewadi",Alphacom Systems and Solutions Priavte Limited,"Mumbai, Pune"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1498963&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Data Scientist,SnapHunt Pte Ltd,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1493763&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Java Full-Stack Developers Noida,C P Careers Private Limited,"Bengaluru / Bangalore, Mumbai, Mumbai City, Navi Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1510269&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Python Developer with Devops,Federal Soft Systems Inc,"Mumbai, Pune"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1501426&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Finance Analytics-Data Scientist,TATA Consultancy Services Ltd.,"Kolkata, Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/job-vacancy-finance-analytics-data-scientist-tata-consultancy-services-ltd-kolkata-mumbai-7-12-years-24923945.html
ZR_16_JOB Urgent Hiring For Python Developer in Pan India,2COMS Consulting Private Limited,"Delhi, Mumbai"," 
                                5,40,000-6,60,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1500094&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Tracer Analytics - Data Modeler,TATA Consultancy Services Ltd.,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/job-vacancy-tracer-analytics-data-modeler-tata-consultancy-services-ltd-mumbai-8-14-years-24928747.html
Tracer Analytics - Data Scientist,TATA Consultancy Services Ltd.,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/job-vacancy-tracer-analytics-data-scientist-tata-consultancy-services-ltd-mumbai-8-14-years-24928721.html
Java & Python Developer,Synechron Technologies Private Limited,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/job-vacancy-java-python-developer-synechron-technologies-private-limited-mumbai-3-11-years-24849914.html
Urgent requirement for Software Engineer – DevOps - Mumbai Location - 4+years Exp,Leadersource Consulting LLP,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1507254&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Java Backend Developer,Magna Infotech Limited,"Mumbai, Mumbai City, Navi Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1498482&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Finance Analytics-Business Analyst,TATA Consultancy Services Ltd.,"Kolkata, Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/job-vacancy-finance-analytics-business-analyst-tata-consultancy-services-ltd-kolkata-mumbai-4-9-years-24923935.html
"Scala, Spark Architect",Fastra Corporation Private Limited,"Bengaluru / Bangalore, Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1504702&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
BeyondTrust ,TechDemocracy LLC,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1499533&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Splunk Consultant,Infosight Software And Consulting Services Private Limited,"Bengaluru / Bangalore, Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1502516&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
DEMO 2 Teacher Recruitment & Training Manager / Placement Training Manager - Vacancy ( 50 Nos ) ,Quotient Consultancy,Mumbai City," 
                                5,00,000-7,00,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1496965&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Technical Leader ,Free Lancer Shruthi Agarwal,Mumbai," 
                                7,00,000-14,00,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1495142&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
ZR_136_JOB Need Node JS Developer Urgently in Pan India,2COMS Consulting Private Limited,"Delhi, Mumbai"," 
                                6,10,000-6,80,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1500086&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Devops Engineer ,Web Design Magics,"Bengaluru / Bangalore, Mumbai"," 
                                3,00,000-8,00,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1023876&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Immediate Openings for RPA Architect (UI Path) ,TechEra IT Consulting Private Limited,"Delhi, Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1508005&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
RPA FRESHER : Openings in IT firm in MAHAPE,Quastech,"Mumbai, Navi Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1491555&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Bigdata Developer with Hadoop,New Global Technologies,"Mumbai, Pune"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1155022&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
SCCM Administrator ,Macropace Technologies,"Mumbai City, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1491984&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Tracer Analytics – Domain Expert ,TATA Consultancy Services Ltd.,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/job-vacancy-tracer-analytics-domain-expert-tata-consultancy-services-ltd-mumbai-12-15-years-24925257.html
System Administrator,Karan IT Solutions,"Chennai, Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1209197&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Sr Software QA Analyst,Team Management Services,"Mumbai, Mumbai City, Navi Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1511999&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Teacher Recruitment & Training Manager ( Demo 3 ) /Training & Development  Manager - Vacancy 50 nos ,Quotient Consultancy,Mumbai City," 
                                8,00,000-10,00,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1496982&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
SCCM Administrator ,Renovision Automation Services Private Limited,"Mumbai, Mumbai City, Navi Mumbai, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1490775&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Program Manager ,TATA Consultancy Services Ltd.,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/job-vacancy-program-manager-tata-consultancy-services-ltd-mumbai-10-16-years-24946069.html
Teacher Training Executive ( DEMO 1 ) /  Training  & Development Executive  -  Vacancy ( 50 Nos ) ,Quotient Consultancy,Mumbai City," 
                                3,50,000-5,00,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1472223&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Junior Java Developer ,Nanu India Recruitment Co,"Mumbai, Pune, Mumbai City, Navi Mumbai, Thane"," 
                                1,80,000-4,00,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1500419&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
"Php Team Leader , Php  laravel developer, php front end developer",Symphony Technoventures Private Limited,"Mumbai, Mumbai City, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1496628&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Principal Software Engineer ,SRS Business Solutions India Private Limited,"Mumbai, Pune, Mumbai City, Navi Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1495435&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Java + Hadoop Developer,Synechron Technologies Private Limited,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/job-vacancy-java-hadoop-developer-synechron-technologies-private-limited-mumbai-4-10-years-24849947.html
Raspberry PI + Python Developer,CloudWiz Consulting,"Mumbai, Nasik"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1472917&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Senior AWS/Python Full Stack Developer,Avantha Technologies Limited,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1478491&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Sr Devops Engineer AWS  Mumbai location  Andheri ,Company Name Confidential,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1489274&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Urgent Opening for Python Full Stack Developer with AWS.,Avantha Technologies Limited,"Mumbai, Mumbai City, Navi Mumbai, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1478676&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Job Opening for Data Scientist,Team Ace HR LLP,"Mumbai, Mumbai City"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1497520&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Python Full Stack Developer with AWS Experience.,Avantha Technologies Limited,"Mumbai, Mumbai City, Navi Mumbai, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1478464&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Data Analyst ,Vashi Electricals Private Limited,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1466442&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Sharepoint Developer ,Magna Infotech Limited,"Mumbai, Mumbai City, Navi Mumbai, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1483440&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Freshers - B.E - CSE / IT & MCA Graduates,Karan IT Solutions,"Hyderabad / Secunderabad, Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=93359&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Windows Application Engineer - South African MNC - Navi Mumbai,Connexions,"Mumbai, Mumbai City, Navi Mumbai, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1497797&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Data Scientist ,Brace infotech private limited,"Mumbai, Mumbai City, Navi Mumbai, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1468118&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
SQL developer,Brace infotech private limited,"Mumbai, Mumbai City, Navi Mumbai, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1472287&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
ETL / Database / Scripting  Developer,Synechron Technologies Private Limited,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/job-vacancy-etl-database-scripting-developer-synechron-technologies-private-limited-mumbai-3-8-years-24849931.html
Team Leader -  Operations ,Quotient Consultancy,Mumbai City," 
                                8,00,000-11,00,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1501040&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Technical Specialist – Middleware,I Tech Solutions,Mumbai City," 
                                1,00,000-3,50,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1495101&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
(Female) -  C++ Development - Vice President - Permanent Position with Investment Bank,Master Mind Consultancy,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1478421&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Fullstack Developer - Remote Home Based - Fulltime - Fixed Pay in Euros - Anywhere in India,Global Headhunting Alliance,"Delhi, Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1471367&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Business Analyst Data Analyst Big Data Analytics ,Aine Ai Infotech,"Bengaluru / Bangalore, Mumbai"," 
                                4,00,000-7,00,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1488145&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
"Backend Engineer - Data Focused, Senior",Good Workers India Private Limited,Mumbai," 
                                0-0 INR
                            ",www.monsterindia.com/seeker/job-details?id=1486989&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Sr QA Engineer,Team Management Services,"Mumbai City, Navi Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1511996&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
"""Splunk admin"", ""Splunk developer""",Company Name Confidential,"Mumbai City, Navi Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1460572&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Immediate opening for PHP Developer for Pune location,Magna Infotech Limited,"Mumbai, Pune, Mumbai City, Navi Mumbai, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1481389&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Permanent Payroll - Ecommerce company - Back-end Developer ,Master Mind Consultancy,Mumbai," 
                                6,00,000-12,00,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1460496&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
ServiceNow Developer,Magna Infotech Limited,"Mumbai, Mumbai City, Navi Mumbai, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1474629&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Job Opening for ThingWorx Developer,Team Ace HR LLP,Mumbai City," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1474252&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
VP - Java - Investment bank,Master Mind Consultancy,"Bengaluru / Bangalore, Mumbai, Mumbai City, Navi Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1465695&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Job Opening for Engineer - C++,Team Ace HR LLP,"Mumbai, Mumbai City"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1474263&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Java AWS Architect ,Larsen & Toubro Infotech  Ltd.,"Mumbai, Pune"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1484545&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
python Developer,ThinkApps Solutions Private Limited,"Mumbai, Mumbai City, Navi Mumbai, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1358531&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Python Developer,ThinkApps Solutions Private Limited,"Mumbai, Mumbai City, Navi Mumbai, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1358517&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Urgent Job Openings,Angel And Genie,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1453625&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Python Dveloper,ThinkApps Solutions Private Limited,"Mumbai, Mumbai City, Navi Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1358500&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
"Test Engineer, Testing (both Manual & Automation) with experience in developing Automation (1-2 yrs)",Symphony Technoventures Private Limited,"Mumbai, Mumbai City, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1442323&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Devops Engineer ,Intelliswift Software India Private Limited,"Bengaluru / Bangalore, Mumbai"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1438243&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
FullStack Application Developer @ Mumbai,Computer Power Group Private Limited,Mumbai City," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1451799&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
 Data Engineer for Spark & Scala/Python  ,Acmeture Global Consulting Services,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1356288&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
"Urgent requirement for Senior Frappe / ERPNext Developer, Mumbai Location",Leadersource Consulting LLP,Mumbai," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1343810&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Automation Tester ,CloudWiz Consulting,"Mumbai, Mumbai City, Navi Mumbai, Thane"," 
                                Not Specified
                            ",www.monsterindia.com/seeker/job-details?id=1439498&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Hiring for Azure Data Automation Specialist in Mumbai Location,Avenues Consulting,"Mumbai, Mumbai City, Navi Mumbai, Thane"," 
                                10,00,000-20,00,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1437925&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
Python Developer ,Bold Venture Consultancy LLP,"Mumbai, Mumbai City"," 
                                1,20,000-2,40,000 INR
                            ",www.monsterindia.com/seeker/job-details?id=1333861&searchId=7a40b161-753a-4879-b3ab-837d98a77c2c
